GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RotaLog - API Frotas,com.rotalog.config,CorsConfig.new WebMvcConfigurer() {...},52,0,0,0,6,0,2,0,2,0
RotaLog - API Frotas,com.rotalog.config,CorsConfig,8,0,0,0,2,0,2,0,2,0
RotaLog - API Frotas,com.rotalog.dto,VeiculoRequest,3,0,0,0,1,0,1,0,1,0
RotaLog - API Frotas,com.rotalog.dto,MotoristaRequest,3,0,0,0,1,0,1,0,1,0
RotaLog - API Frotas,com.rotalog.dto,ManutencaoRequest,0,3,0,0,0,1,0,1,0,1
RotaLog - API Frotas,com.rotalog.scheduler,AlertaManutencaoScheduler,0,44,0,2,0,11,0,4,0,3
RotaLog - API Frotas,com.rotalog.controller,MotoristaController,174,0,0,0,44,0,11,0,11,0
RotaLog - API Frotas,com.rotalog.controller,VeiculoController,246,0,2,0,64,0,13,0,12,0
RotaLog - API Frotas,com.rotalog.controller,ManutencaoController,0,181,0,2,0,43,0,12,0,11
RotaLog - API Frotas,com.rotalog.controller,AlertaManutencaoController,0,133,1,7,0,31,1,8,0,5
RotaLog - API Frotas,com.rotalog.controller,HealthCheckController,89,0,0,0,21,0,3,0,3,0
RotaLog - API Frotas,com.rotalog.service,VeiculoNotificacaoService,5,88,1,1,1,25,1,7,0,7
RotaLog - API Frotas,com.rotalog.service,NotificacaoClient,223,4,10,0,42,1,8,1,3,1
RotaLog - API Frotas,com.rotalog.service,VeiculoEstatisticasService,0,59,0,0,0,9,0,3,0,3
RotaLog - API Frotas,com.rotalog.service,VeiculoValidator,0,65,0,18,0,16,0,15,0,6
RotaLog - API Frotas,com.rotalog.service,VeiculoService,0,287,0,20,0,64,0,24,0,14
RotaLog - API Frotas,com.rotalog.service,NotificacaoClient.NotificacaoResultado,0,9,0,0,0,4,0,1,0,1
RotaLog - API Frotas,com.rotalog.service,MotoristaService,262,0,26,0,60,0,26,0,13,0
RotaLog - API Frotas,com.rotalog.service,ManutencaoPreventivaService.Baseline,0,9,0,0,0,4,0,1,0,1
RotaLog - API Frotas,com.rotalog.service,ManutencaoPreventivaService.AvaliacaoResultado,0,9,0,0,0,4,0,1,0,1
RotaLog - API Frotas,com.rotalog.service,EntregaClient,98,0,8,0,21,0,10,0,6,0
RotaLog - API Frotas,com.rotalog.service,ManutencaoService,22,282,3,17,6,67,6,17,3,10
RotaLog - API Frotas,com.rotalog.service,ManutencaoPreventivaService,1,403,2,32,0,79,2,23,0,8
RotaLog - API Frotas,com.rotalog,Application,5,3,0,0,2,1,1,1,1,1
